Disease accession (OMIM)	Disease name (OMIM)	Gene accession (OMIM)	Gene symbol (OMIM)	Mouse ortholog (MGI)	"Known molecular basis (1=Yes, 0=No)"	"Germline aberrations (1=Yes, 0=No)"	Phenotypic series accession (OMIM)	Phenotypic series name (OMIM)	"Expressed in human tissue (1=Yes, 0=No)"	"Expressed in mouse tissue (1=Yes, 0=No)"	Inflicted tissue (ODiseA)	Human affected cell types	Mouse similar affected cell types
606176	"Diabetes Mellitus, Permanent Neonatal 1"	138079	GCK	Gck	1	1	PS606176	"Diabetes mellitus, permanent neonatal"	0	0			
606367	Immunodeficiency 41 With Lymphoproliferation And Autoimmunity	147730	IL2RA	Il2ra	1	1	PS300755	Immunodeficiency (Select Examples)	1	1	Yes		
606408	Ehlers-danlos-like Syndrome Due To Tenascin-x Deficiency	600985	TNXB	Tnxb	1	1	PS130000	Ehlers-Danlos syndrome	1	0			
606593	Lig4 Syndrome	601837	LIG4	Lig4	1	1			1	1	Yes	"['cd24.neutrophil', 'neutrophil']"	
606812	Fumarase Deficiency	136850	FH	Fh1	1	1			1	1	NA		
606843	"Immunodeficiency With Hyper-igm, Type 3"	109535	CD40	Cd40	1	1	PS308230	Immunodeficiency with hyper-IgM	1	1	Yes	"['memory.b.cell', 'naive.b.cell']"	['mature.B.cell']
606893	"Vascular Malformation, Primary Intraosseous"	606421	ELMO2	Elmo2	1	1			1	1	No		
606966	Nephronophthisis 4	607215	NPHP4	Nphp4	1	1	PS256100	Nephronophthisis	0	0			
606996	Senior-loken Syndrome 4	607215	NPHP4	Nphp4	1	1	PS266900	Senior-Loken syndrome	0	0			
607091	"Congenital Disorder Of Glycosylation, Type Iid"	137060	B4GALT1	B4galt1	1	1	PS212066	"Congenital disorders of glycosylation, type II"	1	1	Yes		
607115	Cinca Syndrome	606416	NLRP3	Nlrp3	1	1			1	1	NA		
607143	"Congenital Disorder Of Glycosylation, Type Ig"	607144	ALG12	Alg12	1	1	PS212065	"Congenital disorders of glycosylation, type I"	1	0			
607236	"Hypoprebetalipoproteinemia, Acanthocytosis, Retinitis Pigmentosa,and Pallidal Degeneration"	606157	PANK2	Pank2	1	1			1	1	Yes		
607271	"Autoimmune Lymphoproliferative Syndrome, Type Iib"	601763	CASP8	Casp8	1	1			1	1	Yes	"['cd8.positive..alpha.beta.t.cell', 'nk.cell']"	
607330	Lathosterolosis	602286	SC5D	Sc5d	1	1			1	1	Yes		
607426	"Coenzyme Q10 Deficiency, Primary, 1"	609825	COQ2	Coq2	1	1	PS607426	"Coenzyme Q10 deficiency, primary"	1	1	Yes		
607473	"Vitamin K-dependent Clotting Factors, Combined Deficiency Of, 2"	608547	VKORC1	Vkorc1	1	1	PS277450	"Vitamin K-dependent clotting factors, combined deficiency of"	1	1	No		
607554	"Atrial Fibrillation, Familial, 3"	607542	KCNQ1	Kcnq1	1	1	PS608583	"Atrial fibrillation, familial"	1	0			
607594	"Immunodeficiency, Common Variable, 1"	604558	ICOS	Icos	1	1	PS607594	"Immunodeficiency, common variable"	1	1	Yes		
607616	"Niemann-pick Disease, Type B"	607608	SMPD1	Smpd1	1	1			1	1	Yes		
607624	"Griscelli Syndrome, Type 2"	603868	RAB27A	Rab27a	1	1	PS214450	Griscelli syndrome	1	1	Yes	['cd24.neutrophil']	
607625	"Niemann-pick Disease, Type C2"	601015	NPC2	Npc2	1	1			1	1	Yes	['macrophage']	['monocyte']
607626	"Ichthyosis, Leukocyte Vacuoles, Alopecia, And Sclerosing Cholangitis"	603718	CLDN1	Cldn1	1	1			0	1	Yes		
607676	Immunodeficiency 67	606883	IRAK4	Irak4	1	1	PS300755	Immunodeficiency (Select Examples)	1	1	Yes		
607765	"Bile Acid Synthesis Defect, Congenital, 1"	607764	HSD3B7	Hsd3b7	1	1	PS607765	"Bile acid synthesis defect, congenital"	0	1	Yes		
607785	Juvenile Myelomonocytic Leukemia	165360	CBL	Cbl	1	1			1	1	Yes	"['nampt.neutrophil', 'neutrophil']"	
607785	Juvenile Myelomonocytic Leukemia	613113	NF1	Nf1	1	1			1	1	Yes	"['nampt.neutrophil', 'neutrophil']"	
607847	"Neutropenia, Nonimmune Chronic Idiopathic, Of Adults"	600871	GFI1	Gfi1	1	1			1	1	Yes	['cd8.positive..alpha.beta.t.cell']	
607906	"Congenital Disorder Of Glycosylation, Type Ii"	607905	ALG2	Alg2	1	1	PS212065	"Congenital disorders of glycosylation, type I"	1	1	NA		
607944	Spondyloenchondrodysplasia With Immune Dysregulation	171640	ACP5		1	1	PS184255	Spondylometaphyseal dysplasia	1	0			
608013	"Gaucher Disease, Perinatal Lethal"	606463	GBA	Gba	1	1			1	1	Yes	['macrophage']	
608068	"Neutrophilic Dermatosis, Acute Febrile"	608107	MEFV	Mefv	1	1			1	1	Yes	['nampt.neutrophil']	
608093	"Congenital Disorder Of Glycosylation, Type Ij"	191350	DPAGT1	Dpagt1	1	1	PS212065	"Congenital disorders of glycosylation, type I"	1	1	NA		
608104	"Congenital Disorder Of Glycosylation, Type Ih"	608103	ALG8	Alg8	1	1	PS212065	"Congenital disorders of glycosylation, type I"	1	1	Yes		
608203	Immunodeficiency 73a With Defective Neutrophil Chemotaxix And Leukocytosis	602049	RAC2	Rac2	1	1	PS300755	Immunodeficiency (Select Examples)	1	1	Yes		
608233	Hermansky-pudlak Syndrome 2	603401	AP3B1	Ap3b1	1	1	PS203300	Hermansky-Pudlak syndrome	1	1	Yes		
608404	Platelet Glycoprotein Iv Deficiency	173510	CD36	Cd36	1	1	PS231200	"Bleeding disorder, platelet-type"	1	1	Yes		
608799	"Congenital Disorder Of Glycosylation, Type Ie"	603503	DPM1	Dpm1	1	1	PS212065	"Congenital disorders of glycosylation, type I"	1	1	No		
608836	"Carnitine Palmitoyltransferase Ii Deficiency, Lethal Neonatal"	600650	CPT2	Cpt2	1	1			1	1	NA		
608885	Stomatin-deficient Cryohydrocytosis With Neurologic Defects	138140	SLC2A1	Slc2a1	1	1			1	0			
608898	"Hemophagocytic Lymphohistiocytosis, Familial, 3"	608897	UNC13D	Unc13d	1	1	PS267700	"Hemophagocytic lymphohistiocytosis, familial"	1	1	Yes		
608957	"Cd8 Deficiency, Familial"	186910	CD8A	Cd8a	1	1			1	1	Yes	['cd8.positive..alpha.beta.t.cell']	['T.cell']
608971	"Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-negative,b Cell-positive, Nk Cell-positive"	151460	PTPRC	Ptprc	1	1			1	1	Yes		
608971	"Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-negative,b Cell-positive, Nk Cell-positive"	146661	IL7R	Il7r	1	1			1	1	Yes		
609053	"Fanconi Anemia, Complementation Group I"	611360	FANCI	Fanci	1	1	PS227650	Fanconi anemia	1	0	Yes		
609054	"Fanconi Anemia, Complementation Group J"	605882	BRIP1	Brip1	1	1	PS227650	Fanconi anemia	1	1	Yes		
609057	Nephropathy With Pretibial Epidermolysis Bullosa And Deafness	602243	CD151	Cd151	1	1			1	1	No		
609069	Pancreatic And Cerebellar Agenesis	607194	PTF1A	Ptf1a	1	1			0	0			
609135	Aplastic Anemia	607444	SBDS	Sbds	1	1			1	1	Yes		
609135	Aplastic Anemia	602667	NBN	Nbn	1	1			1	1	Yes		
609135	Aplastic Anemia	170280	PRF1	Prf1	1	1			1	0	Yes		
609135	Aplastic Anemia	147570	IFNG	Ifng	1	1			1	1	Yes		
609180	"Congenital Disorder Of Glycosylation, Type If"	604041	MPDU1	Mpdu1	1	1	PS212065	"Congenital disorders of glycosylation, type I"	1	1	No		
609529	Immunoglobulin A Deficiency 2	604907	TNFRSF13B	Tnfrsf13b	1	1			1	1	Yes	['memory.b.cell']	
609628	Majeed Syndrome	605519	LPIN2	Lpin2	1	1			1	1	Yes	['erythrocyte']	['erythroblast']
609820	"Erythrocytosis, Familial, 3"	606425	EGLN1	Egln1	1	1	PS133100	"Erythrocytosis, familial"	1	1	Yes		
609821	Bleeding Disorder Due To P2ry12 Defect	600515	P2RY12	P2ry12	1	1	PS231200	"Bleeding disorder, platelet-type"	0	1	Yes		
609942	Noonan Syndrome 3	190070	KRAS	Kras	1	1	PS163950	Noonan syndrome	1	1	Yes		
609981	Natural Killer Cell And Glucocorticoid Deficiency With Dna Repairdefect	602638	MCM4	Mcm4	1	1	PS300755	Immunodeficiency (Select Examples)	1	1	Yes		
610090	Pyridoxamine 5-prime-phosphate Oxidase Deficiency	603287	PNPO	Pnpo	1	1			1	1	Yes	['myeloid.progenitor']	
610163	Immunodeficiency 25	186780	CD247	Cd247	1	1	PS300755	Immunodeficiency (Select Examples)	1	1	Yes		
610181	Aicardi-goutieres Syndrome 2	610326	RNASEH2B	Rnaseh2b	1	1	PS225750	Aicardi-Goutieres syndrome	1	1	Yes		
610198	"3-@methylglutaconic Aciduria, Type V"	608977	DNAJC19	Dnajc19-ps	1	1	PS250950	3-Methylglutaconic aciduria	1	0	Yes		
610198	"3-@methylglutaconic Aciduria, Type V"	608977	DNAJC19	Dnajc19	1	1	PS250950	3-Methylglutaconic aciduria	1	1	Yes		
610293	Glycosylphosphatidylinositol Deficiency	610273	PIGM	Pigm	1	1			1	1	Yes	['myeloid.progenitor']	
610329	Aicardi-goutieres Syndrome 3	610330	RNASEH2C	Rnaseh2c	1	1	PS225750	Aicardi-Goutieres syndrome	1	1	Yes		
610333	Aicardi-goutieres Syndrome 4	606034	RNASEH2A	Rnaseh2a	1	1	PS225750	Aicardi-Goutieres syndrome	1	1	Yes		
610377	Mevalonic Aciduria	251170	MVK	Mvk	1	1			0	1	Yes		
610460	Thiopurine S-methyltransferase Deficiency	187680	TPMT	Tpmt	1	1	PS610460	"Thiopurines, poor metabolism of"	1	0			
610475	"Pigmented Nodular Adrenocortical Disease, Primary, 2"	604961	PDE11A	Pde11a	1	1	PS610489	"Pigmented nodular adrenocortical disease, primary"	0	0			
610489	"Pigmented Nodular Adrenocortical Disease, Primary, 1"	188830	PRKAR1A	Prkar1a	1	1	PS610489	"Pigmented nodular adrenocortical disease, primary"	1	1	No		
610539	"Gaucher Disease, Atypical"	176801	PSAP	Psap	1	1			1	1	Yes	['macrophage']	
610582	"Diabetes Mellitus, Transient Neonatal, 3"	600937	KCNJ11	Kcnj11	1	1			0	0			
610629	Diamond-blackfan Anemia 3	602412	RPS24	Rps24	1	1	PS105650	Diamond-Blackfan anemia	1	1	Yes		
610733	Noonan Syndrome 4	182530	SOS1	Sos1	1	1	PS163950	Noonan syndrome	1	0			
610738	"Neutropenia, Severe Congenital, Autosomal Recessive 3"	605998	HAX1	Hax1	1	1	PS202700	"Neutropenia, severe congenital"	1	1	Yes		
610798	Immunodeficiency Due To Defect In Mapbp-interacting Protein	610389	LAMTOR2	Lamtor2	1	1			1	1	Yes	['macrophage']	
610832	"Fanconi Anemia, Complementation Group N"	610355	PALB2	Palb2	1	1	PS227650	Fanconi anemia	1	0	Yes		
610842	Pseudoxanthoma Elasticum-like Disorder With Multiple Coagulation Factor Deficiency	137167	GGCX	Ggcx	1	1			1	0			
611126	"Acyl-coa Dehydrogenase Family, Member 9, Deficiency Of"	611103	ACAD9	Acad9	1	1	PS252010	"Mitochondrial complex I deficiency, nuclear type"	1	1	NA		
611174	Hamamy Syndrome	606195	IRX5		1	1			0	0			
611209	"Congenital Disorder Of Glycosylation, Type Iig"	606973	COG1	Cog1	1	1	PS212066	"Congenital disorders of glycosylation, type II"	1	1	NA		
611283	Isobutyryl-coa Dehydrogenase Deficiency	604773	ACAD8	Acad8	1	1			1	1	NA		
611490	"Osteopetrosis,  Autosomal Recessive 4"	602727	CLCN7	Clcn7	1	1	PS259700	"Osteopetrosis, autosomal recessive"	1	0	Yes		
611590	"Renal Tubular Acidosis, Distal, With Hemolytic Anemia"	109270	SLC4A1	Slc4a1	1	1	PS179800	Distal renal tubular acidosis	1	1	Yes	['erythrocyte']	"['erythroblast', 'proerythroblast']"
611762	Familial Cold Autoinflammatory Syndrome 2	609648	NLRP12	Nlrp12	1	1	PS120100	Familial cold autoinflammatory syndrome	1	0			
611773	"Angiopathy, Hereditary, With Nephropathy, Aneurysms, And Muscle Cramps"	120130	COL4A1	Col4a1	1	1			0	0			
611783	"Erythrocytosis, Familial, 4"	603349	EPAS1	Epas1	1	1	PS133100	"Erythrocytosis, familial"	0	0	Yes		
611804	Elliptocytosis 1	130500	EPB41	Epb41	1	1			1	0			
611881	Glycogen Storage Disease Xii	103850	ALDOA	Aldoa	1	1			1	1	Yes	['macrophage']	
612004	Thrombocytopenia 4	123970	CYCS	Cycs	1	1	PS313900	Thrombocytopenia	1	1	Yes		
612015	"Congenital Disorder Of Glycosylation, Type In"	611908	RFT1	Rft1	1	1	PS212065	"Congenital disorders of glycosylation, type I"	1	1	No		
612126	Glut1 Deficiency Syndrome 2	138140	SLC2A1	Slc2a1	1	1	PS128100	Dystonia	1	0			
612126	Glut1 Deficiency Syndrome 2	138140	SLC2A1	Slc2a1	1	1	PS606777	Glut1 deficiency syndrome	1	0			
612199	Cerebroretinal Microangiopathy With Calcifications And Cysts	613129	CTC1	Ctc1	1	1	PS612199	Cerebroretinal microangiopathy with calcfications and cysts	1	0			
612260	Immunodeficiency 68	602170	MYD88	Myd88	1	1	PS300755	Immunodeficiency (Select Examples)	1	1	Yes		
612300	"Hemolytic Anemia, Cd59-mediated, With Or Without Immune-mediated Polyneuropathy"	107271	CD59	Cd59b	1	1			1	1	Yes		
612301	"Osteopetrosis, Autosomal Recessive 7"	603499	TNFRSF11A	Tnfrsf11a	1	1	PS259700	"Osteopetrosis, autosomal recessive"	0	0	Yes		
612304	"Thrombophilia, Hereditary, Due To Protein C Deficiency, Autosomal"	612283	PROC	Proc	1	1	PS188050	Thrombophilia	0	0	Yes		
612336	"Thrombophilia, Hereditary, Due To Protein S Deficiency, Autosomal"	176880	PROS1	Pros1	1	1	PS188050	Thrombophilia	1	1	Yes		
612350	"Ehlers-danlos Syndrome, Spondylodysplastic Type, 3"	608735	SLC39A13	Slc39a13	1	1	PS130000	Ehlers-Danlos syndrome	0	0			
612356	Heparin Cofactor Ii Deficiency	142360	SERPIND1	Serpind1	1	1	PS188050	Thrombophilia	0	0	Yes		
612379	"Coloboma, Ocular, And Ichthyosis, Brain Malformations, And Endocrine"	611715	SRD5A3	Srd5a3	1	1	PS212065	"Congenital disorders of glycosylation, type I"	1	1	Yes		
612394	"Bone Fragility With Contractures, Arterial Rupture, And Deafness"	603066	PLOD3	Plod3	1	1			1	1	No		
612416	Factor Xi Deficiency	264900	F11	F11	1	1			0	0			
612423	Prekallikrein Deficiency	229000	KLKB1	Klkb1	1	1			0	0			
612527	Diamond-blackfan Anemia 4	180472	RPS17	Rps17	1	1	PS105650	Diamond-Blackfan anemia	1	1	Yes		
612528	Diamond-blackfan Anemia 5	180468	RPL35A	Rpl35a	1	1	PS105650	Diamond-Blackfan anemia	1	1	Yes		
612541	"Neutropenia, Severe Congenital, 4, Autosomal Recessive"	611045	G6PC3	G6pc3	1	1	PS202700	"Neutropenia, severe congenital"	1	1	Yes		
612561	Diamond-blackfan Anemia 6	603634	RPL5	Rpl5	1	1	PS105650	Diamond-Blackfan anemia	1	1	Yes		
612562	Diamond-blackfan Anemia 7	604175	RPL11	Rpl11	1	1	PS105650	Diamond-Blackfan anemia	1	1	Yes		
612563	Diamond-blackfan Anemia 8	603658	RPS7	Rps7	1	1	PS105650	Diamond-Blackfan anemia	1	1	Yes		
612631	"Adenylate Kinase Deficiency, Hemolytic Anemia Due To"	103000	AK1	Ak1	1	1			1	0			
612653	"Spherocytosis, Type 4"	109270	SLC4A1	Slc4a1	1	1			1	1	Yes	['erythrocyte']	"['erythroblast', 'proerythroblast']"
612690	"Spherocytosis, Type 5"	177070	EPB42	Epb42	1	1			1	0			
612714	"Exocrine Pancreatic Insufficiency, Dyserythropoietic Anemia, And Calvarial"	607976	COX4I2	Cox4i2	1	1			0	0			
612740	"Porphyria, Acute Hepatic"	125270	ALAD	Alad	1	1			1	1	Yes	"['erythrocyte', 'erythroid.progenitor']"	['proerythroblast']
612783	Immunodeficiency 10	605921	STIM1	Stim1	1	1	PS300755	Immunodeficiency (Select Examples)	1	1	Yes		
612840	"Leukocyte Adhesion Deficiency, Type Iii"	607901	FERMT3	Fermt3	1	1			1	1	Yes		
612852	Interleukin 1 Receptor Antagonist Deficiency	147679	IL1RN	Il1rn	1	1			1	1	NA		
612922	"Hemolytic Uremic Syndrome, Atypical, Susceptibility To, 2"	120920	CD46	Cd46	1	1	PS235400	Hemolytic uremic syndrome	1	0	Yes	['hematopoietic.stem.cell']	
612923	"Hemolytic Uremic Syndrome, Atypical, Susceptibility To, 3"	217030	CFI	Cfi	1	1	PS235400	Hemolytic uremic syndrome	0	0	Yes	['hematopoietic.stem.cell']	
612924	"Hemolytic Uremic Syndrome, Atypical, Susceptibility To, 4"	138470	CFB	Cfb	1	1	PS235400	Hemolytic uremic syndrome	0	0	Yes	['hematopoietic.stem.cell']	
612925	"Hemolytic Uremic Syndrome, Atypical, Susceptibility To, 5"	120700	C3	C3	1	1	PS235400	Hemolytic uremic syndrome	0	1	Yes	['hematopoietic.stem.cell']	
612926	"Hemolytic Uremic Syndrome, Atypical, Susceptibility To, 6"	188040	THBD	Thbd	1	1	PS235400	Hemolytic uremic syndrome	0	1	Yes	['hematopoietic.stem.cell']	
612952	Aicardi-goutieres Syndrome 5	606754	SAMHD1	Samhd1	1	1	PS225750	Aicardi-Goutieres syndrome	1	1	Yes		
613011	Lymphoproliferative Syndrome 1	186973	ITK	Itk	1	1	PS308240	Lymphoproliferative syndrome	1	1	Yes		
613065	"Leukemia, Acute Lymphocytic, Susceptibility To, 1"	602667	NBN	Nbn	1	1			1	1	Yes	['neutrophil']	
613070	"Liver Failure, Acute Infantile"	610230	TRMU	Trmu	1	1			1	0			
613075	"Macrocephaly, Alopecia, Cutis Laxa, And Scoliosis"	610222	RIN2	Rin2	1	1			1	1	No		
613092	"Hyperuricemic Nephropathy, Familial Juvenile, 2"	179820	REN	Ren1	1	1	PS162000	Tubulointerstitial kidney disease	0	0		['plasma.cell']	['plasma.cell']
613101	"Hemophagocytic Lymphohistiocytosis, Familial, 5"	601717	STXBP2	Stxbp2	1	1	PS267700	"Hemophagocytic lymphohistiocytosis, familial"	1	1	Yes		
613107	"Neutropenia, Severe Congenital, 2, Autosomal Dominant"	600871	GFI1	Gfi1	1	1	PS202700	"Neutropenia, severe congenital"	1	1	Yes		
613112	"Macrothrombocytopenia, Autosomal Dominant, Tubb1-related"	612901	TUBB1	Tubb1	1	1			1	0			
613116	Thrombophilia Due To Histidine-rich Glycoprotein Deficiency	142640	HRG		1	1	PS188050	Thrombophilia	0	0	Yes		
613118	Antithrombin Iii Deficiency	107300	SERPINC1	Serpinc1	1	1	PS188050	Thrombophilia	0	0	Yes		
613148	"Inflammatory Bowel Disease 28, Early Onset, Autosomal Recessive"	146933	IL10RA	Il10ra	1	1	PS266600	Inflammatory bowel disease	1	1	Yes	['cd8.positive..alpha.beta.t.cell']	
613179	Immunodeficiency Due To Purine Nucleoside Phosphorylase Deficiency	164050	PNP	Pnp	1	1			1	1	Yes	['erythrocyte']	"['erythroblast', 'proerythroblast']"
613179	Immunodeficiency Due To Purine Nucleoside Phosphorylase Deficiency	164050	PNP	Pnp2	1	1			1	1	Yes	['erythrocyte']	"['erythroblast', 'proerythroblast']"
613224	Noonan Syndrome 6	164790	NRAS	Nras	1	1	PS163950	Noonan syndrome	1	1	Yes		
613225	"Factor Xiii, A Subunit, Deficiency Of"	134570	F13A1	F13a1	1	1			1	1	No		
613235	"Factor Xiii, B Subunit, Deficiency Of"	134580	F13B	F13b	1	1			0	0			
613280	"Hypermanganesemia With Dystonia, Polycythemia, And Cirrhosis"	611146	SLC30A10	Slc30a10	1	1	PS613280	Hypermanganesemia with dystonia	0	0			
613308	Diamond-blackfan Anemia 9	603632	RPS10	Rps10	1	1	PS105650	Diamond-Blackfan anemia	1	1	Yes		
613309	Diamond-blackfan Anemia 10	603701	RPS26	Rps26	1	1	PS105650	Diamond-Blackfan anemia	1	1	Yes		
613313	"Hemochromatosis, Type 2b"	606464	HAMP		1	1	PS235200	Hemochromatosis	0	0			
613329	Plasminogen Activator Inhibitor-1 Deficiency	173360	SERPINE1	Serpine1	1	1			0	0			
613385	"Autoimmune Disease, Multisystem, With Facial Dysmorphism"	606409	ITCH	Itch	1	1			1	1	NA		
613470	"Hemolytic Anemia, Nonspherocytic, Due To Glucose Phosphate Isomerase"	172400	GPI	Gpi1	1	1			1	1	Yes	['cd24.neutrophil']	
613471	Reynolds Syndrome	600024	LBR	Lbr	1	1			1	1	NA		
613496	"Immunodeficiency, Common Variable, 6"	186845	CD81	Cd81	1	1	PS607594	"Immunodeficiency, common variable"	1	1	Yes		
613501	"Agammaglobulinemia 3, Autosomal Recessive"	112205	CD79A	Cd79a	1	1	PS601495	Agammaglobulinemia	1	1	Yes		
613502	"Agammaglobulinemia 4, Autosomal Recessive"	604515	BLNK	Blnk	1	1	PS601495	Agammaglobulinemia	1	1	Yes		
613550	Nephronophthisis 11	609884	TMEM67	Tmem67	1	1	PS256100	Nephronophthisis	1	0			
613554	"Von Willebrand Disease, Type 2"	613160	VWF	Vwf	1	1			1	0			
613561	"Myopathy, Lactic Acidosis, And Sideroblastic Anemia 2"	610957	YARS2	Yars2	1	1	PS600462	"Myopathy, lactic acidosis, and sideroblastic anemia"	1	1	Yes		
613563	Noonan Syndrome-like Disorder With Or Without Juvenile Myelomonocyticleukemia	165360	CBL	Cbl	1	1			1	1	Yes	['neutrophil']	
613625	"Factor V And Factor Viii, Combined Deficiency Of"	607788	MCFD2	Mcfd2	1	1			1	1	No		
613658	Rajab Interstitial Lung Disease With Brain Calcifications	609690	FARSB	Farsb	1	1	PS613658	Rajab interstitial lung disease with brain calcifications	1	1	Yes	['erythroid.progenitor']	
613673	"Anemia, Dyserythropoietic Congenital, Type Iv"	600599	KLF1	Klf1	1	1	PS224120	"Anemia, congenital dyserythropoietic"	1	1	Yes		
613679	Congenital Prothrombin Deficiency	176930	F2	F2	1	1			0	0			
613759	"Infections, Recurrent, With Encephalopathy, Hepatic Dysfunction, And Cardiovascular Malformations"	602457	FADD	Fadd	1	1			1	1	Yes	['neutrophil']	
613795	"Loeys-dietz Syndrome, Type 3"	603109	SMAD3	Smad3	1	1	PS609192	Loeys-Dietz syndrome	1	1	No		
613812	"Bile Acid Synthesis Defect, Congenital, 3"	603711	CYP7B1	Cyp7b1	1	1	PS607765	"Bile acid synthesis defect, congenital"	1	0	Yes		
613839	Megaloblastic Anemia Due To Dihydrofolate Reductase Deficiency	126060	DHFR	Dhfr	1	1			1	1	Yes	['erythroid.progenitor']	['precursor.B.cell']
613845	"Hyperuricemia, Pulmonary Hypertension, Renal Failure, And Alkalosis"	612804	SARS2	Sars2	1	1			1	1	Yes	['erythroid.progenitor']	['immature.B.cell']
613949	Okt4 Epitope Deficiency 	186940	CD4	Cd4	1	1			1	1	Yes	['cd4.positive..alpha.beta.t.cell']	
613951	"Fanconi Anemia, Complementation Group P"	613278	SLX4	Slx4	1	1	PS227650	Fanconi anemia	0	0	Yes		
613977	"Cyanosis, Transient Neonatal"	142250	HBG2	Hbb-y	1	1			0	0			
613978	Hemoglobin H Disease	141850	HBA2	Hba-a1	1	1			1	1	Yes	['erythrocyte']	"['erythroblast', 'reticulocyte']"
613978	Hemoglobin H Disease	141850	HBA2	Hba-a2	1	1			1	1	Yes	['erythrocyte']	"['erythroblast', 'reticulocyte']"
613978	Hemoglobin H Disease	141800	HBA1	Hba-a1	1	1			1	1	Yes	['erythrocyte']	"['erythroblast', 'reticulocyte']"
613978	Hemoglobin H Disease	141800	HBA1	Hba-a2	1	1			1	1	Yes	['erythrocyte']	"['erythroblast', 'reticulocyte']"
613985	Beta-thalassemia	141900	HBB	Hbb-bt	1	1			1	0			
613985	Beta-thalassemia	141900	HBB	Hbb-bs	1	1			1	0			
613985	Beta-thalassemia	152424	LCRB		1	1			0	0			
613987	"Dyskeratosis Congenita, Autosomal Recessive, 2"	606470	NHP2	Nhp2	1	1	PS127550	Dyskeratosis congenita	1	1	Yes		
613988	"Dyskeratosis Congenita, Autosomal Recessive, 3"	612661	WRAP53	Wrap53	1	1	PS127550	Dyskeratosis congenita	1	1	Yes		
613989	"Dyskeratosis Congenita, Autosomal Dominant, 2"	187270	TERT	Tert	1	1	PS127550	Dyskeratosis congenita	0	0	Yes		
613990	"Dyskeratosis Congenita, Autosomal Dominant, 3"	604319	TINF2	Tinf2	1	1	PS127550	Dyskeratosis congenita	1	1	Yes		
614009	"Bleeding Disorder, Platelet-type, 13, Susceptibility To"	188070	TBXA2R	Tbxa2r	1	1	PS231200	"Bleeding disorder, platelet-type"	0	1	Yes		
614034	Heme Oxygenase-1 Deficiency	141250	HMOX1	Hmox1	1	1			1	1	Yes	['macrophage']	['monocyte']
614038	"Lymphedema, Primary, With Myelodysplasia"	137295	GATA2	Gata2	1	1			1	1	Yes	['myeloid.progenitor']	
614072	Hermansky-pudlak Syndrome 3	606118	HPS3	Hps3	1	1	PS203300	Hermansky-Pudlak syndrome	1	1	Yes		
614073	Hermansky-pudlak Syndrome 4	606682	HPS4	Hps4	1	1	PS203300	Hermansky-Pudlak syndrome	1	0	Yes		
614074	Hermansky-pudlak Syndrome 5	607521	HPS5	Hps5	1	1	PS203300	Hermansky-Pudlak syndrome	1	1	Yes		
614075	Hermansky-pudlak Syndrome 6	607522	HPS6	Hps6	1	1	PS203300	Hermansky-Pudlak syndrome	1	0	Yes		
614076	Hermansky-pudlak Syndrome 7	607145	DTNBP1	Dtnbp1	1	1	PS203300	Hermansky-Pudlak syndrome	1	1	Yes		
614077	Hermansky-pudlak Syndrome 8	609762	BLOC1S3	Bloc1s3	1	1	PS203300	Hermansky-Pudlak syndrome	0	1	Yes		
614082	"Fanconi Anemia, Complementation Group G"	602956	FANCG	Fancg	1	1	PS227650	Fanconi anemia	1	1	Yes		
614083	"Fanconi Anemia, Complementation Group L"	608111	FANCL	Fancl	1	1	PS227650	Fanconi anemia	1	1	Yes		
614162	Immunodeficiency 31c	600555	STAT1	Stat1	1	1	PS114580	Familial candidiasis	1	1	Yes		
614162	Immunodeficiency 31c	600555	STAT1	Stat1	1	1	PS300755	Immunodeficiency (Select Examples)	1	1	Yes		
614171	Hermansky-pudlak Syndrome 9	604310	BLOC1S6	Bloc1s6	1	1	PS203300	Hermansky-Pudlak syndrome	1	0	Yes		
614172	Immunodeficiency 21	137295	GATA2	Gata2	1	1	PS300755	Immunodeficiency (Select Examples)	1	1	Yes		
614201	"Bleeding Disorder, Platelet-type, 11"	605546	GP6	Gp6	1	1	PS231200	"Bleeding disorder, platelet-type"	0	0	Yes		
614204	"Psoriasis 14, Pustular"	605507	IL36RN	Il36rn	1	1	PS177900	Psoriasis	0	0			
614286	Myelodysplastic Syndrome	137295	GATA2	Gata2	1	1			1	1	Yes	['myeloid.progenitor']	
614378	Cranioectodermal Dysplasia 4	608151	WDR19	Wdr19	1	1	PS218330	Cranioectodermal dysplasia	0	0			
614380	Complement Component 4a Deficiency	120810	C4A	C4b	1	1			0	0			
614380	Complement Component 4a Deficiency	120810	C4A	C4a	1	1			0	0			
614450	"Hypothyroidism, Congenital, Nongoitrous, 6"	190120	THRA	Thra	1	1	PS275200	"Hypothyroidism, congenital, nongoitrous"	1	1	Yes	['erythroid.progenitor']	
614470	"Ras-associated Autoimmune Lymphoproliferative Syndrome Type Iv, Somatic"	190070	KRAS	Kras	1	1			1	1	Yes	['neutrophil']	
614483	Porencephaly 2	120090	COL4A2	Col4a2	1	1	PS175780	Brain small vessel disease	0	0			
614486	Thrombophilia Due To Thrombomodulin Defect	188040	THBD	Thbd	1	1	PS188050	Thrombophilia	0	1			
